dataset,score,policy,spent,reference_spent,saving,coverage,shortfall,size_fraction,set_size,empty_rate,singleton_rate,delta_coverage,delta_shortfall,delta_size_fraction,support,spent_sd,campaign_violation,min_component_coverage,max_component_coverage
har,APS,variance_save,316.6875,449.8958333333333,0.24405682070035462,0.8822533303174837,0.05083739828460538,0.3911958502603405,2.347175101562043,0.1044547288193578,0.21311596518291367,0.005536899937476497,-0.0025663799253893443,0.007535895172742401,1.0,0.0,0.6436979166666666,0.8822533303174837,0.8822533303174837
har,LAC,deterministic,234.7152777777778,449.8958333333333,0.36255017484239555,0.8870518937313742,0.052854274550582316,0.17812933143183404,1.0687759885910046,0.04781163303227106,0.8606732256247035,-0.003255930477577249,0.0033541309202770094,0.001573512103203443,1.0,0.0,0.5265451388888889,0.8870518937313743,0.8870518937313743
har,LAC,drop_coverage,174.7893927006237,449.8958333333333,0.5061486804183303,0.8808686525508858,0.058609291038688664,0.17963891554125486,1.0778334932475293,0.0572597571236795,0.841806979776846,-0.009439171658065763,0.009109147408383351,0.003083096212624229,2.6263888888888887,38.27133519266187,0.6431410288472261,0.8531797609134261,0.8919076130070239
har,LAC,drop_shortfall,176.7966708279463,449.8958333333333,0.500865576296693,0.8811429880408901,0.058587565685509435,0.18044199587464707,1.0826519752478827,0.05734449760699239,0.8387987473224623,-0.009164836168061378,0.009087422055204117,0.003886176546016442,2.6972222222222224,40.73269797783663,0.6319317180462748,0.8533337925768992,0.8921625070601049
har,LAC,drop_size,152.69242136840697,449.8958333333333,0.5605946153767265,0.883457596171158,0.05755784752676466,0.18426874491042178,1.1056124694625307,0.05722645961071171,0.826904046327266,-0.006850228037793366,0.008057703896459356,0.007712925581791115,2.0416666666666665,35.35163103043354,0.683857213886759,0.870795956271111,0.8915111874591385
har,LAC,fixed_25,121.14583333333333,449.8958333333333,0.6900095116725767,0.8475858928592599,0.08832300279664455,0.17428823316182954,1.0457293989709775,0.09681478346237045,0.8034316912096139,-0.042721931349691544,0.03882285916633923,-0.0022675861668010806,1.0,0.0,0.7403819444444445,0.8475858928592599,0.8475858928592599
har,LAC,fixed_50,227.95833333333334,449.8958333333333,0.47421967346335697,0.8727369992222043,0.06561328846775764,0.176753573248798,1.0605214394927884,0.06505787225793995,0.8424504193033863,-0.017570824986747214,0.016113144837452322,0.00019775392016739912,1.0,0.0,0.5988368055555556,0.8727369992222043,0.8727369992222043
har,LAC,fixed_75,338.4166666666667,449.8958333333333,0.24099438534278964,0.8842480809917045,0.055373915057837696,0.17715682240578745,1.062940934434725,0.049682638627575444,0.8635992764845679,-0.006059743217246918,0.005873771427532387,0.0006010030771568322,1.0,0.0,0.42381944444444447,0.8842480809917047,0.8842480809917047
har,LAC,full_b1,450.0,449.8958333333333,-0.00044326241134751463,0.8748208166216461,0.061776077296201305,0.17292000450970632,1.0375200270582383,0.059323744143622355,0.8659177392395957,-0.015487007587305321,0.012275933665895996,-0.0036358148189242745,1.0,0.0,0.7010937500000001,0.8748208166216461,0.8748208166216461
har,LAC,full_b2,456.9148936170213,456.9148936170213,-9.431115135051073e-06,0.8825048448527406,0.05595767227854507,0.1756581956681003,1.053949174008602,0.05077153490750066,0.8689372762686206,-0.010173496119643145,0.008522304071939968,-0.001284952038189062,1.0,0.0,0.6956382978723404,0.8825048448527406,0.8825048448527406
har,LAC,full_b4,464.2391304347827,464.2391304347827,0.0,0.8945847331005751,0.04569864869682914,0.17709680445423479,1.0625808267254089,0.03528491822596103,0.8859921053361773,0.0,0.0,0.0,1.0,0.0,0.0,0.8945847331005751,0.8945847331005751
har,LAC,full_b8,479.8863636363637,479.8863636363637,-1.0074145712440918e-05,0.8980719392063907,0.04332412407580296,0.17844196587401262,1.070651795244076,0.032096871690479915,0.8844576148250747,0.002207719512096814,-0.0012114948237776668,0.0015344216792970405,1.0,0.0,0.6202272727272727,0.8980719392063907,0.8980719392063907
har,LAC,full_reference,449.8958333333333,449.8958333333333,0.0,0.8903078242089514,0.049500143630305284,0.17655581932863063,1.0593349159717838,0.04061486348776763,0.8799703913397092,0.0,0.0,0.0,1.0,0.0,0.0,0.8903078242089516,0.8903078242089516
har,LAC,kappa0,139.54822802002283,449.8958333333333,0.590760560401323,0.8766023146629754,0.06277618219613065,0.1817192643556853,1.090315586134112,0.06445551988055315,0.8245096076878666,-0.013705509545975955,0.013276038565825333,0.005163445027054663,2.6180555555555554,31.547063086324176,0.7058835577025263,0.8529681995680517,0.8885066939663874
har,LAC,kappa05,161.22652587937955,449.8958333333333,0.5392191621966808,0.8795717876246343,0.05993989336054445,0.18062538421010765,1.083752305260646,0.059641044769803336,0.8351361932428808,-0.010736036584317134,0.010439749730239136,0.004069564881477027,2.6770833333333335,35.65458622539842,0.6684076331695259,0.8557505504187205,0.8904724219793212
har,LAC,kappa2,226.8320739358356,449.8958333333333,0.3946217065950181,0.8850457797194636,0.05475341871180716,0.1786628594660614,1.0719771567963685,0.05064907041976261,0.8552851121699776,-0.005262044489487833,0.005253275081501848,0.0021070401374307366,2.6909722222222228,54.83341575243319,0.5093061964162913,0.8609883121046957,0.8939676306017971
