dataset,score,control,metric,mean,lower,upper,subjects
har,APS,restricted_b4,coverage,-0.00046383151302775336,-0.0018009684734464717,0.0008254757064026204,30
har,APS,restricted_b4,shortfall,0.001407810157165059,0.00031578831645524326,0.002488331233354538,30
har,APS,restricted_b4,size_fraction,0.0014123493722042765,9.488312554856428e-05,0.0027343020818326506,30
har,APS,restricted_b8,saving,0.14827945876538923,0.1428191110548908,0.1539877332363732,30
har,APS,restricted_b8,coverage,-0.005328217042856383,-0.005990790115430141,-0.004645890313965972,30
har,APS,restricted_b8,shortfall,0.004786918788961148,0.004138535460053706,0.005432377497362592,30
har,APS,restricted_b8,size_fraction,-0.002883723910961831,-0.0032743770257078865,-0.0024936025980055315,30
har,APS,fixed_50,saving,0.08057604449408569,0.07046316714292568,0.0905217829773185,30
har,APS,fixed_50,coverage,0.0062323386109537394,0.005077745271652311,0.0074065728712596444,30
har,APS,fixed_50,shortfall,-0.004329212572950131,-0.0053028130409808714,-0.003390598215186427,30
har,APS,fixed_50,size_fraction,0.006899846361631457,0.00584604934655306,0.007997554747269488,30
har,APS,variance_save,saving,0.3107388972570881,0.2994289245786135,0.32143697369920476,30
har,APS,variance_save,coverage,-0.010305517145018435,-0.012634958546406396,-0.00795656369363224,30
har,APS,variance_save,shortfall,0.010795460900681165,0.008944131705189175,0.012654258913725668,30
har,APS,variance_save,size_fraction,-0.004009975656610704,-0.005926487111556841,-0.0022582899550333264,30
har,APS,matched_b4,saving,-0.004167940681249205,-0.004347961932987927,-0.003984279201037641,30
har,APS,matched_b4,coverage,-0.0008547614788433614,-0.0024394828409528024,0.0006046189065168884,30
har,APS,matched_b4,shortfall,7.760403920758503e-05,-0.001151200224678598,0.0013871652733390028,30
har,APS,matched_b4,size_fraction,-0.0013679343419695123,-0.003042749515062588,0.00014278559154318608,30
har,APS,matched_b8,saving,-0.00416866406087885,-0.004354881542700738,-0.003988539033711688,30
har,APS,matched_b8,coverage,-0.008280834575264628,-0.009379890645374615,-0.007202366624237346,30
har,APS,matched_b8,shortfall,0.0052185872021785675,0.004165486956733279,0.006266163698045604,30
har,APS,matched_b8,size_fraction,-0.00908237606239403,-0.010133086129362966,-0.008068507563038214,30
har,LAC,full_reference,saving,0.4872118607751828,0.4783531964369869,0.49543615381533074,30
har,LAC,full_reference,coverage,-0.008417836952886285,-0.010813300488910276,-0.0059923935798802145,30
har,LAC,full_reference,shortfall,0.00825325072208901,0.006043376156821492,0.010362341988806636,30
har,LAC,full_reference,size_fraction,0.0032344526945243626,0.0019760041712307062,0.004584014385025551,30
har,LAC,deterministic,saving,0.12466168593278727,0.12058146722513022,0.128705008544621,30
har,LAC,deterministic,coverage,-0.005161906475309023,-0.0062156617116303214,-0.004119500652054669,30
har,LAC,deterministic,shortfall,0.004899119801811986,0.003954488828231504,0.00581814458116916,30
har,LAC,deterministic,size_fraction,0.0016609405913209216,0.0009671184000386964,0.002395931354934008,30
har,LAC,two_plan,saving,0.053647661725681174,0.050787877148588935,0.05665895555328299,30
har,LAC,two_plan,coverage,-0.002103660834897392,-0.0026103281873599664,-0.0015927248565578598,30
har,LAC,two_plan,shortfall,0.0020533836773159644,0.001608741120099065,0.002501842807932037,30
har,LAC,two_plan,size_fraction,0.000916863011595534,0.000523037676805688,0.0013417144611047387,30
har,LAC,restricted_b4,saving,0.08894136958236049,0.08347352994344155,0.0941196533214483,30
har,LAC,restricted_b4,coverage,0.00019373873094682045,-0.0013791596528015253,0.0017578369468588526,30
