dataset,score,policy,sum,count,mean
realdisp,APS,random_planning,108,144,0.75
realdisp,APS,restricted_b1,53,144,0.3680555555555556
realdisp,APS,restricted_b4,35,144,0.24305555555555555
realdisp,APS,restricted_b8,44,144,0.3055555555555556
realdisp,APS,sparse,93,144,0.6458333333333334
realdisp,APS,two_plan,61,144,0.4236111111111111
realdisp,APS,variance_save,51,144,0.3541666666666667
realdisp,LAC,deterministic,13,144,0.09027777777777778
realdisp,LAC,drop_coverage,101,144,0.7013888888888888
realdisp,LAC,drop_shortfall,93,144,0.6458333333333334
realdisp,LAC,drop_size,131,144,0.9097222222222222
realdisp,LAC,fixed_25,123,144,0.8541666666666666
realdisp,LAC,fixed_50,75,144,0.5208333333333334
realdisp,LAC,fixed_75,41,144,0.2847222222222222
realdisp,LAC,full_b1,36,144,0.25
realdisp,LAC,full_b2,36,141,0.2553191489361702
realdisp,LAC,full_b4,0,138,0.0
realdisp,LAC,full_b8,14,132,0.10606060606060606
realdisp,LAC,full_reference,0,144,0.0
realdisp,LAC,kappa0,139,144,0.9652777777777778
realdisp,LAC,kappa05,122,144,0.8472222222222222
realdisp,LAC,kappa2,23,144,0.1597222222222222
realdisp,LAC,matched_b1,98,144,0.6805555555555556
realdisp,LAC,matched_b2,120,144,0.8333333333333334
realdisp,LAC,matched_b4,113,144,0.7847222222222222
realdisp,LAC,matched_b8,101,144,0.7013888888888888
realdisp,LAC,random_planning,112,144,0.7777777777777778
realdisp,LAC,restricted_b1,43,144,0.2986111111111111
realdisp,LAC,restricted_b4,75,144,0.5208333333333334
realdisp,LAC,restricted_b8,17,144,0.11805555555555555
realdisp,LAC,sparse,89,144,0.6180555555555556
realdisp,LAC,two_plan,51,144,0.3541666666666667
realdisp,LAC,variance_save,25,144,0.1736111111111111
wisdm,APS,deterministic,14,144,0.09722222222222222
wisdm,APS,drop_coverage,56,144,0.3888888888888889
wisdm,APS,drop_shortfall,65,144,0.4513888888888889
wisdm,APS,drop_size,123,144,0.8541666666666666
wisdm,APS,fixed_25,121,144,0.8402777777777778
wisdm,APS,fixed_50,73,144,0.5069444444444444
wisdm,APS,fixed_75,51,144,0.3541666666666667
wisdm,APS,full_b1,78,144,0.5416666666666666
wisdm,APS,full_b2,35,141,0.24822695035460993
wisdm,APS,full_b4,0,138,0.0
wisdm,APS,full_b8,41,132,0.3106060606060606
wisdm,APS,full_reference,0,144,0.0
wisdm,APS,kappa0,126,144,0.875
wisdm,APS,kappa05,102,144,0.7083333333333334
wisdm,APS,kappa2,7,144,0.04861111111111111
wisdm,APS,matched_b1,132,144,0.9166666666666666
wisdm,APS,matched_b2,120,144,0.8333333333333334
wisdm,APS,matched_b4,119,144,0.8263888888888888
wisdm,APS,matched_b8,127,144,0.8819444444444444
wisdm,APS,random_planning,124,144,0.8611111111111112
wisdm,APS,restricted_b1,20,144,0.1388888888888889
wisdm,APS,restricted_b4,16,144,0.1111111111111111
wisdm,APS,restricted_b8,63,144,0.4375
wisdm,APS,sparse,55,144,0.3819444444444444
wisdm,APS,two_plan,24,144,0.16666666666666666
wisdm,APS,variance_save,29,144,0.2013888888888889
wisdm,LAC,deterministic,11,144,0.0763888888888889
wisdm,LAC,drop_coverage,47,144,0.3263888888888889
wisdm,LAC,drop_shortfall,49,144,0.3402777777777778
wisdm,LAC,drop_size,93,144,0.6458333333333334
wisdm,LAC,fixed_25,118,144,0.8194444444444444
wisdm,LAC,fixed_50,71,144,0.4930555555555556
wisdm,LAC,fixed_75,52,144,0.3611111111111111
wisdm,LAC,full_b1,66,144,0.4583333333333333
wisdm,LAC,full_b2,42,141,0.2978723404255319
wisdm,LAC,full_b4,0,138,0.0
wisdm,LAC,full_b8,29,132,0.2196969696969697
wisdm,LAC,full_reference,0,144,0.0
wisdm,LAC,kappa0,116,144,0.8055555555555556
wisdm,LAC,kappa05,77,144,0.5347222222222222
wisdm,LAC,kappa2,2,144,0.013888888888888888
wisdm,LAC,matched_b1,130,144,0.9027777777777778
wisdm,LAC,matched_b2,127,144,0.8819444444444444
wisdm,LAC,matched_b4,113,144,0.7847222222222222
wisdm,LAC,matched_b8,116,144,0.8055555555555556
wisdm,LAC,random_planning,105,144,0.7291666666666666
wisdm,LAC,restricted_b1,6,144,0.041666666666666664
wisdm,LAC,restricted_b4,23,144,0.1597222222222222
wisdm,LAC,restricted_b8,35,144,0.24305555555555555
wisdm,LAC,sparse,36,144,0.25
wisdm,LAC,two_plan,23,144,0.1597222222222222
wisdm,LAC,variance_save,24,144,0.16666666666666666
