dataset,score,policy,tolerance,coverage,set_size,shortfall,delta_coverage,delta_size,delta_shortfall,queried,saving
har,APS,uncorrected,0.5,0.9330119157043575,2.6155782340921117,0.01790227891323022,0.032403891764338014,0.21427603148265134,-0.015114235934573448,128.03333333333333,0.592734375
har,LAC,fixed_25,0.5,0.9048176637704687,1.0550608872163012,0.03705793898093023,0.00032770272348541353,0.01982860163938669,0.001078422929521657,112.5,0.7500000000000004
har,LAC,fixed_50,0.5,0.904988816950522,1.0418496784043512,0.03606787672268746,0.0004988559035388195,0.006617392827436762,8.836067127888392e-05,225.0,0.5000000000000002
har,LAC,fixed_75,0.5,0.9048171979475339,1.038040851405835,0.03601641721512129,0.0003272369005505619,0.002808565828920429,3.6901163712724934e-05,337.5,0.2500000000000001
har,LAC,full_reference,0.5,0.9044899610469833,1.0352322855769145,0.035979516051408575,0.0,0.0,0.0,450.0,0.0
har,LAC,horizon,0.1,0.9203410348930744,1.0756680511406227,0.02776657374795904,0.015851073846091163,0.04043576556370818,-0.008212942303449504,287.54583333333335,0.2712803819444444
har,LAC,horizon,0.25,0.9414846563600003,1.153935428353216,0.018054254481948275,0.03699469531301699,0.11870314277630158,-0.017925261569460275,148.89166666666668,0.5661371527777778
har,LAC,horizon,0.5,0.9585022070829745,1.2697485998845928,0.011572736824218771,0.05401224603599105,0.23451631430767847,-0.02440677922718978,87.8875,0.7162456597222222
har,LAC,horizon,1.0,0.9688238134591532,1.4384357781488424,0.007873376150711226,0.06433385241216975,0.40320349257192795,-0.028106139900697328,64.94166666666666,0.7785112847222223
har,LAC,hypergeom,0.1,0.920505930412865,1.0757480164363447,0.02765057953519408,0.01601596936588171,0.04051573085943009,-0.008328936516214467,319.675,0.2130164930555555
har,LAC,hypergeom,0.25,0.9430422244976963,1.1585602055666624,0.017291794663272624,0.03855226345071285,0.123327919989748,-0.018687721388135934,178.675,0.4904340277777778
har,LAC,hypergeom,0.5,0.961097055136362,1.2857588599965128,0.010580777379917928,0.05660709408937856,0.25052657441959847,-0.025398738671490628,109.86666666666666,0.6492708333333334
har,LAC,hypergeom,1.0,0.9720377301330354,1.477657542400132,0.006721953115389761,0.06754776908605192,0.44242525682321754,-0.029257562936018798,82.1625,0.7200347222222223
har,LAC,martingale,0.1,0.9191390273102382,1.0722375995131914,0.02835335182606266,0.014649066263254875,0.03700531393627696,-0.0076261642253458856,350.3333333333333,0.14619791666666662
har,LAC,martingale,0.25,0.9431404472753833,1.1602212303857757,0.017262681603482287,0.03865048622839988,0.12498894480886134,-0.018716834447926267,208.15,0.4064626736111111
har,LAC,martingale,0.5,0.9630608923388392,1.3016609365671987,0.00994826611166045,0.05857093129185577,0.26642865099028434,-0.02603124993974811,125.94583333333334,0.5897135416666667
har,LAC,martingale,1.0,0.9751734270853163,1.5199444270117368,0.005571912926890647,0.0706834660383328,0.4847121414348224,-0.03040760312451791,90.73333333333333,0.6819704861111112
har,LAC,midpoint,0.5,0.9066431929891845,1.0344541750578407,0.033184374136551696,0.0021532319422012457,-0.0007781105190738694,-0.002795141914856868,87.8875,0.7162456597222222
har,LAC,no_intersection,0.5,0.9582182230829097,1.2667163745956642,0.011681201223744452,0.053728262035926296,0.2314840890187499,-0.024298314827664102,89.15833333333333,0.71328125
har,LAC,one_look_50,0.5,0.9363434508363776,1.1672181824860826,0.02076940433622774,0.031853489789394264,0.13198589690916815,-0.015210111715180812,225.0,0.5000000000000002
har,LAC,sparse_checks,0.5,0.9564078662403419,1.253885119406932,0.012464766066207753,0.05191790519335857,0.21865283383001766,-0.023514749985200797,85.75833333333334,0.7219574652777778
har,LAC,uncorrected,0.5,0.9554651381012415,1.2534717739568924,0.012948342836583276,0.05097517705425804,0.2182394883799779,-0.023031173214825278,65.3875,0.7598394097222223
mhealth,APS,fixed_25,0.5,0.9024854987400661,4.490027309546978,0.03456608837573235,0.0006900676995107856,0.09487570291771098,0.0018220204898308184,82.5,0.7500000000000004
mhealth,APS,fixed_50,0.5,0.9022651700354273,4.42493441038579,0.03317101300849982,0.0004697389948719853,0.029782803756522848,0.000426945122598291,165.0,0.5000000000000002
mhealth,APS,fixed_75,0.5,0.9018022370505452,4.4048716832567925,0.03290162786295402,6.8060099899119464e-06,0.00972007662752591,0.00015755997705249982,247.5,0.2500000000000001
mhealth,APS,full_reference,0.5,0.9017954310405554,4.395151606629267,0.03274406788590152,0.0,0.0,0.0,330.0,0.0
mhealth,APS,horizon,0.1,0.9021606544746319,4.399732075866671,0.03251643274251999,0.0003652234340766762,0.004580469237404674,-0.0002276351433815304,326.05833333333334,0.009722222222222182
mhealth,APS,horizon,0.25,0.9045678476352446,4.444388684062504,0.030953599882619108,0.0027724165946892304,0.04923707743323737,-0.001790468003282401,308.6791666666667,0.05177083333333329
mhealth,APS,horizon,0.5,0.9113331045289993,4.565141635358774,0.0270203390937665,0.009537673488443926,0.1699900287295066,-0.005723728792135006,266.23333333333335,0.1619097222222222
mhealth,APS,horizon,1.0,0.924216821309237,4.813266076105626,0.019723871597965088,0.02242139026868161,0.41811446947635994,-0.013020196287936414,188.09583333333333,0.38029513888888894
mhealth,APS,hypergeom,0.1,0.9020389705030051,4.398576355393001,0.03261160933842381,0.00024353946244974622,0.0034247487637331514,-0.00013245854747771167,328.2375,0.004253472222222193
mhealth,APS,hypergeom,0.25,0.9043931540471346,4.439831047411678,0.031064709913003984,0.0025977230065793114,0.044679440782411026,-0.0016793579728975252,315.925,0.0338194444444444
mhealth,APS,hypergeom,0.5,0.9115505635338259,4.568048865666943,0.026878748519220386,0.009755132493270586,0.17289725903767558,-0.005865319366681118,282.8625,0.1193923611111111
mhealth,APS,hypergeom,1.0,0.9245897969850053,4.823367137250975,0.019505059280396055,0.022794365944449946,0.4282155306217083,-0.013239008605505448,213.2375,0.3068055555555556
mhealth,APS,martingale,0.1,0.9019029234773899,4.396690426884168,0.03268677274619505,0.0001074924368344896,0.0015388202549003413,-5.7295139706464163e-05,329.37916666666666,0.0014062499999999841
mhealth,APS,martingale,0.25,0.9039517653219572,4.432548306607542,0.03137082413233007,0.0021563342814018586,0.037396699978274155,-0.0013732437535714397,321.95,0.01781249999999997
mhealth,APS,martingale,0.5,0.9105482165953693,4.552633315801594,0.02756504620420817,0.008752785554813984,0.15748170917232665,-0.005179021681693339,299.50416666666666,0.0717708333333333
mhealth,APS,martingale,1.0,0.9241314265192775,4.820467867014775,0.01979295680463912,0.02233599547872209,0.4253162603855085,-0.01295111108126239,240.66666666666666,0.22416666666666668
mhealth,APS,midpoint,0.5,0.9018433507606182,4.397437226375647,0.032754057083489635,4.791972006285082e-05,0.002285619746380688,9.989197588109218e-06,266.23333333333335,0.1619097222222222
mhealth,APS,no_intersection,0.5,0.9112536440012807,4.564081074738619,0.027040388899909045,0.009458212960725262,0.16892946810935083,-0.005703678985992463,275.40833333333336,0.13654513888888886
mhealth,APS,one_look_50,0.5,0.9327049879008963,5.140405899034156,0.016896193499747657,0.030909556860340803,0.7452542924048885,-0.015847874386153846,165.0,0.5000000000000002
mhealth,APS,sparse_checks,0.5,0.9043866319540507,4.441227420217382,0.03135482902838475,0.0025912009134953394,0.046075813588114606,-0.0013892388575167654,296.48333333333335,0.08234374999999998
