dataset,model,score,policy,tolerance,coverage,set_size,shortfall,delta_coverage,delta_size,delta_shortfall,queried,saving
pamap2,LR,APS,hypergeom,0.25,0.8917205771595628,5.493499963625402,0.04611664359535971,0.0011663119487103453,0.018420723020675878,-0.0009989499660691872,265.88125,0.01315104166666663
pamap2,LR,APS,hypergeom,0.5,0.8964633488971075,5.582366767426157,0.042572415922005495,0.005909083686255212,0.10728752682143106,-0.004543177639423396,252.30625,0.05755208333333329
pamap2,LR,APS,hypergeom,1.0,0.9071302061801884,5.82151060068636,0.035670490611591346,0.016575940969335956,0.34643136008163405,-0.011445102949837534,221.5,0.16221354166666663
pamap2,LR,APS,martingale,0.1,0.8905529806378186,5.475191825279861,0.04711814097243965,-1.2845730337497197e-06,0.0001125846751345018,2.547411010732512e-06,269.9125,0.0002604166666666575
pamap2,LR,APS,martingale,0.25,0.8912712903585508,5.4865415784402956,0.046485003067872815,0.0007170251476984156,0.011462337835569825,-0.000630590493556089,268.15625,0.005633680555555532
pamap2,LR,APS,martingale,0.5,0.8952914203625357,5.557466409872307,0.04341304945237596,0.0047371551516833645,0.08238716926758026,-0.0037025441090529436,260.3875,0.02960069444444441
pamap2,LR,APS,martingale,1.0,0.9057411401966254,5.787119372178568,0.03648439829134436,0.015186874985772954,0.3120401315738411,-0.010631195270084525,239.675,0.09683159722222219
pamap2,LR,APS,midpoint,0.5,0.8906371762147682,5.475972013624702,0.04710553078199331,8.291100391582325e-05,0.0008927730199763814,-1.0062779435608286e-05,244.8,0.08249999999999996
pamap2,LR,APS,no_intersection,0.5,0.8967146567266379,5.58603710930182,0.0424922961065907,0.0061603915157854156,0.11095786869709388,-0.004623297454838195,250.2125,0.06420138888888886
pamap2,LR,APS,one_look_50,0.5,0.9300091035225624,6.6787530500429275,0.025183871570724065,0.039454838311709976,1.2036738094382016,-0.021931721990704825,135.0,0.5000000000000002
pamap2,LR,APS,sparse_checks,0.5,0.893369377242043,5.522677551313563,0.04487086271223312,0.0028151120311906593,0.04759831070883623,-0.0022447308491957848,255.76875,0.04467013888888886
pamap2,LR,APS,uncorrected,0.5,0.8967438510882401,5.594106232198077,0.04276058899390938,0.006189585877387726,0.11902699159335037,-0.00435500456751952,223.0875,0.14851562499999996
pamap2,LR,LAC,fixed_25,0.5,0.8707596673770768,3.051250299724935,0.06449380445080888,0.0017478597846750784,0.13370944904154905,0.000983416724525966,67.5,0.7500000000000004
pamap2,LR,LAC,fixed_50,0.5,0.869215183967198,2.9568002689467563,0.06436473076334158,0.00020337637479627915,0.03925941826337018,0.0008543430370586739,135.0,0.5000000000000002
pamap2,LR,LAC,fixed_75,0.5,0.8692118895273869,2.930292687526703,0.06369989867466853,0.0002000819349851491,0.012751836843317122,0.00018951094838562076,202.5,0.2500000000000001
pamap2,LR,LAC,full_reference,0.5,0.8690118075924018,2.9175408506833858,0.06351038772628291,0.0,0.0,0.0,270.0,0.0
pamap2,LR,LAC,horizon,0.1,0.8699321969963582,2.9224148179253397,0.0627360978901709,0.0009203894039563374,0.004873967241953823,-0.0007742898361119956,264.9875,0.015798611111111072
pamap2,LR,LAC,horizon,0.25,0.8754717752839265,2.9703024653893753,0.05897601383510575,0.006459967691524718,0.05276161470598967,-0.004534373891177133,243.125,0.08767361111111108
