dataset,score,policy,tolerance,bracket_failure,containment_failure,inflation_exceeded,actual_inflation,saving
pamap2,LAC,hypergeom,0.5,0.01,0.0059375,0.0016666666666666668,0.14889804804412404,0.12021990740740739
pamap2,LAC,hypergeom,1.0,0.009791666666666667,0.004895833333333334,0.0022916666666666667,0.4203805551580449,0.26146412037037037
pamap2,LAC,martingale,0.1,0.0,0.0,0.0,0.0012292941344163686,0.0013599537037037026
pamap2,LAC,martingale,0.25,0.0007291666666666667,0.00010416666666666667,0.0,0.02703355992056992,0.01797164351851851
pamap2,LAC,martingale,0.5,0.0012500000000000002,0.0004166666666666667,0.0004166666666666667,0.12817606309843357,0.06769386574074072
pamap2,LAC,martingale,1.0,0.0016666666666666668,0.0007291666666666667,0.0,0.40626276651025484,0.17524305555555555
pamap2,LAC,midpoint,0.5,0.34718750000000004,0.32989583333333333,0.001979166666666667,-0.01005196809169088,0.16195023148148147
pamap2,LAC,no_intersection,0.5,0.007604166666666667,0.006875000000000001,0.0004166666666666667,0.14706570814187422,0.141875
pamap2,LAC,one_look_50,0.5,0.022916666666666665,0.011250000000000001,0.6970833333333334,1.1955245060287552,0.5
pamap2,LAC,sparse_checks,0.5,0.027604166666666666,0.0121875,0.005000000000000001,0.08527569572133485,0.11550636574074073
pamap2,LAC,uncorrected,0.5,0.10895833333333332,0.05479166666666667,0.024687499999999998,0.15115698938622774,0.24045428240740738
realdisp,APS,fixed_25,0.5,0.9554166666666667,0.41991666666666666,0.34575,0.27458429460629075,0.75
realdisp,APS,fixed_50,0.5,0.9195833333333333,0.41241666666666665,0.21741666666666665,0.099988129519175,0.5
realdisp,APS,fixed_75,0.5,0.8640833333333334,0.3933333333333333,0.10608333333333334,0.03238696547869008,0.25
realdisp,APS,full_reference,0.5,0.0,0.0,0.0,0.0,0.0
realdisp,APS,horizon,0.1,0.016666666666666666,0.009333333333333334,0.006666666666666667,0.0023452866500741913,0.0029444444444444427
realdisp,APS,horizon,0.25,0.026583333333333334,0.014583333333333334,0.009416666666666667,0.021529472106114497,0.011284722222222212
realdisp,APS,horizon,0.5,0.034916666666666665,0.017666666666666667,0.011083333333333334,0.10616265333483847,0.04130787037037034
realdisp,APS,horizon,1.0,0.03833333333333333,0.018000000000000002,0.011333333333333334,0.3303797441484961,0.13222916666666665
realdisp,APS,hypergeom,0.1,0.001916666666666667,0.0011666666666666668,0.00075,0.000894511447315567,0.0005023148148148142
realdisp,APS,hypergeom,0.25,0.005166666666666667,0.0025,0.00175,0.013896768629475838,0.004542824074074067
realdisp,APS,hypergeom,0.5,0.008166666666666668,0.0035833333333333333,0.0025833333333333333,0.09684550862164092,0.024491898148148127
realdisp,APS,hypergeom,1.0,0.010083333333333335,0.004000000000000001,0.0025833333333333333,0.3315849455015467,0.0933321759259259
realdisp,APS,martingale,0.1,0.0003333333333333334,0.0001666666666666667,0.0001666666666666667,9.674498278308208e-05,8.680555555555544e-05
