dataset,score,baseline,metric,difference,ci_low,ci_high,subjects
realdisp,APS,midpoint,queried,0.0,0.0,0.0,15
realdisp,APS,midpoint,saving,0.0,0.0,0.0,15
uschad,LAC,hypergeom,coverage,-0.0006083789236321516,-0.0007884210988748816,-0.0004281080589853227,14
uschad,LAC,hypergeom,set_size,-0.004532247461112471,-0.006239265325724522,-0.00259764255010049,14
uschad,LAC,hypergeom,shortfall,0.00033955629410138374,0.00017382274619737097,0.0005163782860339305,14
uschad,LAC,hypergeom,delta_coverage,-0.0006083789236321095,-0.0007884210988748356,-0.0004281080589853086,14
uschad,LAC,hypergeom,delta_size,-0.004532247461112417,-0.006239265325724399,-0.0025976425501003228,14
uschad,LAC,hypergeom,delta_shortfall,0.00033955629410138444,0.00017382274619736862,0.0005163782860339317,14
uschad,LAC,hypergeom,queried,-21.27142857142856,-22.52380952380951,-19.95534226190475,14
uschad,LAC,hypergeom,saving,0.05757936507936508,0.05392609126984127,0.06098214285714285,14
uschad,LAC,martingale,coverage,0.00042413563322016686,0.00021725854548952214,0.0006258130220768893,14
uschad,LAC,martingale,set_size,0.008601030869046131,0.006410262335055109,0.010966169927878482,14
uschad,LAC,martingale,shortfall,-0.00030145796963571074,-0.00046012859741355073,-0.00015203194090702285,14
uschad,LAC,martingale,delta_coverage,0.0004241356332201517,0.000217258545489493,0.0006258130220768678,14
uschad,LAC,martingale,delta_size,0.00860103086904616,0.0064102623350551285,0.010966169927878498,14
uschad,LAC,martingale,delta_shortfall,-0.0003014579696357053,-0.0004601285974135439,-0.00015203194090702182,14
uschad,LAC,martingale,queried,-42.06190476190475,-44.48989583333333,-39.418363095238085,14
uschad,LAC,martingale,saving,0.11929067460317462,0.11144091021825399,0.12634691220238098,14
uschad,LAC,full_reference,coverage,0.014440579365618409,0.010783270233740094,0.01804559502243702,14
uschad,LAC,full_reference,set_size,0.1792090975427565,0.16999139115876089,0.18772679799442507,14
uschad,LAC,full_reference,shortfall,-0.00801279055944384,-0.012148536953845112,-0.00405639077436761,14
uschad,LAC,full_reference,delta_coverage,0.014440579365618393,0.010783270233740126,0.018045595022437005,14
uschad,LAC,full_reference,delta_size,0.17920909754275635,0.16999139115876077,0.187726797994425,14
uschad,LAC,full_reference,delta_shortfall,-0.00801279055944382,-0.012148536953845077,-0.004056390774367592,14
uschad,LAC,full_reference,queried,-90.43095238095236,-96.64008928571428,-83.65526785714287,14
uschad,LAC,full_reference,saving,0.23668650793650794,0.21845622519841268,0.25340817212301586,14
uschad,LAC,fixed_25,coverage,0.013450225838599348,0.010429099525750808,0.01631440963422025,14
uschad,LAC,fixed_25,set_size,0.0567753908993032,0.02249858340314612,0.08624822676432511,14
uschad,LAC,fixed_25,shortfall,-0.00915506739642674,-0.012960262734149294,-0.005364409435757995,14
uschad,LAC,fixed_25,delta_coverage,0.013450225838599315,0.01042909952575074,0.016314409634220248,14
uschad,LAC,fixed_25,delta_size,0.056775390899303106,0.022498583403146068,0.08624822676432503,14
uschad,LAC,fixed_25,delta_shortfall,-0.009155067396426709,-0.012960262734149259,-0.005364409435757973,14
uschad,LAC,fixed_25,queried,157.0690476190476,150.85991071428575,163.84473214285717,14
uschad,LAC,fixed_25,saving,-0.5133134920634925,-0.5315437748015879,-0.4965918278769845,14
uschad,LAC,fixed_50,coverage,0.01388236581505439,0.010511559830742647,0.017109322988112716,14
uschad,LAC,fixed_50,set_size,0.13747011694595485,0.12055485337707501,0.15262809300051156,14
uschad,LAC,fixed_50,shortfall,-0.008328025244066279,-0.012253053964358161,-0.004481975572941312,14
uschad,LAC,fixed_50,delta_coverage,0.013882365815054365,0.010511559830742583,0.017109322988112702,14
uschad,LAC,fixed_50,delta_size,0.13747011694595487,0.12055485337707508,0.15262809300051156,14
uschad,LAC,fixed_50,delta_shortfall,-0.008328025244066251,-0.012253053964358124,-0.004481975572941292,14
