dataset,score,policy,tolerance,ceiling,coverage,set_size,shortfall,delta_coverage,delta_size,delta_shortfall,queried,saving
dsads,LAC,horizon,0.25,480,0.888156524122807,5.005898665935672,0.038735380116959046,0.001156798245614018,0.01537691885964909,-0.0010256761695906314,354.8958333333333,0.0141782407407407
dsads,LAC,horizon,0.25,960,0.888156524122807,5.005898665935672,0.038735380116959046,0.001156798245614018,0.01537691885964909,-0.0010256761695906314,354.8958333333333,0.0141782407407407
dsads,LAC,horizon,0.5,120,0.88859283625731,5.0955971308479535,0.039529422514619855,0.0013144188596491207,0.006384777046783617,-0.0012755847953216375,117.64583333333333,0.01961805555555551
dsads,LAC,horizon,0.5,240,0.8898547149122807,5.0521728801169585,0.03790250365497074,0.0034192251461987997,0.06210617690058478,-0.0027978801169590457,231.35416666666666,0.036024305555555525
dsads,LAC,horizon,0.5,480,0.8918622076023391,5.102255116959064,0.036193347953216354,0.004862481725146157,0.11173336988304089,-0.0035677083333333086,339.8333333333333,0.056018518518518474
dsads,LAC,horizon,0.5,960,0.8918622076023391,5.102255116959064,0.036193347953216354,0.004862481725146157,0.11173336988304089,-0.0035677083333333086,339.8333333333333,0.056018518518518474
dsads,LAC,horizon,1.0,120,0.8924424342105263,5.175955774853802,0.03659996345029238,0.005164016812865469,0.08674342105263155,-0.0042050438596491,111.875,0.06770833333333327
dsads,LAC,horizon,1.0,240,0.8973588267543859,5.273550804093567,0.0329705774853801,0.01092333698830405,0.28348410087719295,-0.007729806286549678,211.64583333333334,0.11814236111111108
dsads,LAC,horizon,1.0,480,0.8999154788011697,5.374844206871345,0.03110288742690057,0.012915752923976556,0.3843224597953216,-0.00865816885964909,301.75,0.1618055555555555
dsads,LAC,horizon,1.0,960,0.8999154788011697,5.374844206871345,0.03110288742690057,0.012915752923976556,0.3843224597953216,-0.00865816885964909,301.75,0.1618055555555555
dsads,LAC,hypergeom,0.1,120,0.8872779605263158,5.088031341374269,0.04079358552631577,-4.5687134502946584e-07,-0.0011810124269005854,-1.1421783625729166e-05,119.95833333333333,0.00034722222222221665
dsads,LAC,hypergeom,0.1,240,0.8864843750000001,4.993996253654971,0.04066840277777776,4.8885233918127304e-05,0.003929550438596487,-3.198099415204584e-05,239.75,0.0010416666666666584
dsads,LAC,hypergeom,0.1,480,0.8869531250000001,4.989230628654971,0.039800347222222206,-4.6600877192978724e-05,-0.0012911184210526333,3.929093567251205e-05,359.6666666666667,0.0009259259259259083
dsads,LAC,hypergeom,0.1,960,0.8869531250000001,4.989230628654971,0.039800347222222206,-4.6600877192978724e-05,-0.0012911184210526333,3.929093567251205e-05,359.6666666666667,0.0009259259259259083
dsads,LAC,hypergeom,0.25,120,0.8873099415204678,5.088193987573099,0.04076160453216372,3.152412280701637e-05,-0.001018366228070177,-4.3402777777775e-05,119.875,0.001041666666666654
dsads,LAC,hypergeom,0.25,240,0.8871431834795321,5.0018594663742695,0.0400721856725146,0.000707693713450276,0.011792763157894709,-0.0006281980994151938,238.70833333333334,0.005381944444444421
dsads,LAC,hypergeom,0.25,480,0.8877882858187135,4.999400584795322,0.039057474415204664,0.0007885599415204513,0.008878837719298217,-0.0007035818713450173,357.7916666666667,0.006134259259259217
dsads,LAC,hypergeom,0.25,960,0.8877882858187135,4.999400584795322,0.039057474415204664,0.0007885599415204513,0.008878837719298217,-0.0007035818713450173,357.7916666666667,0.006134259259259217
dsads,LAC,hypergeom,0.5,120,0.8886165935672515,5.102643914473684,0.03953079312865494,0.0013381761695906308,0.013431560672514603,-0.0012742141812865375,118.79166666666667,0.010069444444444414
dsads,LAC,hypergeom,0.5,240,0.889890807748538,5.043791118421052,0.03780062134502922,0.0034553179824561085,0.053724415204678334,-0.0028997624269005667,234.04166666666666,0.024826388888888856
dsads,LAC,hypergeom,0.5,480,0.8916141264619885,5.0863733552631585,0.03625730994152045,0.004614400584795282,0.09585160818713447,-0.003503746345029219,346.7916666666667,0.03668981481481478
dsads,LAC,hypergeom,0.5,960,0.8916141264619885,5.0863733552631585,0.03625730994152045,0.004614400584795282,0.09585160818713447,-0.003503746345029219,346.7916666666667,0.03668981481481478
dsads,LAC,hypergeom,1.0,120,0.8927622441520469,5.184359009502924,0.03638432017543857,0.00548382675438593,0.09514665570175435,-0.0044206871345029005,114.8125,0.0432291666666666
dsads,LAC,hypergeom,1.0,240,0.8972605994152048,5.261067708333333,0.032888797514619865,0.01082510964912276,0.27100100511695907,-0.007811586257309906,217.9375,0.09192708333333328
dsads,LAC,hypergeom,1.0,480,0.8998528874269006,5.356380665204679,0.031117050438596475,0.012853161549707543,0.36585891812865495,-0.008644005847953185,317.3541666666667,0.11846064814814812
dsads,LAC,hypergeom,1.0,960,0.8998528874269006,5.356380665204679,0.031117050438596475,0.012853161549707543,0.36585891812865495,-0.008644005847953185,317.3541666666667,0.11846064814814812
dsads,LAC,martingale,0.1,120,0.8872784173976608,5.0892123538011695,0.0408050073099415,0.0,0.0,0.0,120.0,0.0
dsads,LAC,martingale,0.1,240,0.8864565058479532,4.992089729532164,0.04067936769005846,2.101608187134167e-05,0.002023026315789471,-2.101608187134167e-05,239.9375,0.00026041666666666666
dsads,LAC,martingale,0.1,480,0.886999725877193,4.9905217470760235,0.03976105628654969,0.0,0.0,0.0,360.0,0.0
dsads,LAC,martingale,0.1,960,0.886999725877193,4.9905217470760235,0.03976105628654969,0.0,0.0,0.0,360.0,0.0
dsads,LAC,martingale,0.25,120,0.8872784173976608,5.0892123538011695,0.0408050073099415,0.0,0.0,0.0,120.0,0.0
