subject,score,N,policy,coverage,set_size,delta_coverage,delta_size,queried,saving
4,LAC,240,HG,0.9729152777777778,1.9782305555555555,0.01196388888888884,0.18632083333333327,183.0,0.2375
4,LAC,240,JRC,0.9729402777777777,1.9817500000000001,0.011988888888888848,0.18984027777777773,169.23333333333332,0.29486111111111113
4,LAC,240,fixed_25,0.9582486111111111,1.9074041666666668,-0.0027027777777777536,0.11549444444444441,60.0,0.7500000000000004
4,LAC,240,fixed_50,0.9610402777777778,1.8355694444444446,8.888888888889503e-05,0.043659722222222176,120.0,0.5000000000000002
4,LAC,240,fixed_75,0.9598583333333333,1.800075,-0.0010930555555555583,0.008165277777777761,180.0,0.2500000000000001
4,LAC,240,full_reference,0.960951388888889,1.7919097222222222,0.0,0.0,240.0,0.0
5,APS,120,CS_beta_9_1,0.9694305555555557,3.2547527777777776,0.004063888888888836,0.07977222222222219,110.46666666666667,0.07944444444444439
5,APS,120,CS_uniform,0.9687597222222223,3.2395555555555555,0.003393055555555516,0.06457499999999997,113.16666666666667,0.056944444444444374
5,APS,120,HG,0.9705194444444446,3.2711847222222223,0.005152777777777727,0.09620416666666663,106.26666666666667,0.11444444444444439
5,APS,120,JRC,0.970463888888889,3.2750069444444443,0.00509722222222218,0.10002638888888886,100.7,0.1608333333333333
5,APS,120,fixed_25,0.9595319444444445,3.353486111111111,-0.005834722222222207,0.17850555555555553,30.0,0.7500000000000004
5,APS,120,fixed_50,0.9641722222222222,3.260486111111111,-0.0011944444444444392,0.08550555555555552,60.0,0.5000000000000002
5,APS,120,fixed_75,0.9651472222222223,3.199175,-0.00021944444444444005,0.02419444444444444,90.0,0.2500000000000001
5,APS,120,full_reference,0.9653666666666667,3.174980555555556,0.0,0.0,120.0,0.0
5,APS,240,CS_beta_9_1,0.9724861111111113,3.2679513888888887,0.007624999999999947,0.16298888888888882,200.0,0.16666666666666666
5,APS,240,CS_uniform,0.9724750000000001,3.2687138888888883,0.007613888888888833,0.1637513888888888,207.66666666666666,0.13472222222222222
5,APS,240,HG,0.972938888888889,3.279709722222222,0.008077777777777722,0.17474722222222214,190.93333333333334,0.20444444444444446
5,APS,240,JRC,0.9726694444444445,3.2724416666666665,0.007808333333333274,0.1674791666666666,180.56666666666666,0.2476388888888889
5,APS,240,fixed_25,0.9622486111111112,3.2105736111111107,-0.00261249999999998,0.10561111111111111,60.0,0.7500000000000004
5,APS,240,fixed_50,0.9637805555555556,3.1435319444444447,-0.0010805555555555468,0.03856944444444445,120.0,0.5000000000000002
5,APS,240,fixed_75,0.9640986111111112,3.1174513888888886,-0.0007625000000000048,0.012488888888888886,180.0,0.2500000000000001
5,APS,240,full_reference,0.9648611111111111,3.1049624999999996,0.0,0.0,240.0,0.0
5,LAC,120,CS_beta_9_1,0.9807166666666668,2.1237916666666665,0.0036013888888888467,0.07709166666666663,109.7,0.08583333333333326
5,LAC,120,CS_uniform,0.9796166666666668,2.1043430555555553,0.0025013888888888625,0.05764305555555551,113.16666666666667,0.056944444444444395
5,LAC,120,HG,0.9818541666666668,2.1476249999999997,0.004738888888888843,0.10092499999999995,104.96666666666667,0.1252777777777777
5,LAC,120,JRC,0.9817111111111114,2.1456222222222223,0.0045958333333332956,0.09892222222222218,99.23333333333333,0.17305555555555555
5,LAC,120,fixed_25,0.9780597222222223,2.2745375,0.0009444444444444391,0.2278375,30.0,0.7500000000000004
5,LAC,120,fixed_50,0.9771680555555556,2.139034722222222,5.277777777778668e-05,0.09233472222222218,60.0,0.5000000000000002
5,LAC,120,fixed_75,0.9765972222222223,2.085384722222222,-0.0005180555555555333,0.03868472222222224,90.0,0.2500000000000001
5,LAC,120,full_reference,0.977115277777778,2.0467,0.0,0.0,120.0,0.0
5,LAC,240,CS_beta_9_1,0.9837638888888891,2.165070833333333,0.006531944444444415,0.17684027777777772,196.66666666666666,0.18055555555555552
5,LAC,240,CS_uniform,0.9837458333333335,2.1669597222222223,0.006513888888888853,0.17872916666666663,205.63333333333333,0.14319444444444446
5,LAC,240,HG,0.9836666666666668,2.1667555555555555,0.006434722222222187,0.17852499999999996,186.53333333333333,0.2227777777777778
5,LAC,240,JRC,0.9833097222222223,2.1625013888888893,0.006077777777777736,0.1742708333333333,174.53333333333333,0.2727777777777778
5,LAC,240,fixed_25,0.976513888888889,2.0920472222222224,-0.000718055555555553,0.10381666666666667,60.0,0.7500000000000004
5,LAC,240,fixed_50,0.9766666666666668,2.0086097222222223,-0.0005652777777777671,0.020379166666666646,120.0,0.5000000000000002
5,LAC,240,fixed_75,0.9771555555555557,2.003027777777778,-7.638888888888009e-05,0.014797222222222205,180.0,0.2500000000000001
5,LAC,240,full_reference,0.9772319444444446,1.9882305555555557,0.0,0.0,240.0,0.0
6,APS,120,CS_beta_9_1,0.9449361111111112,3.3309194444444445,0.010059722222222175,0.11692083333333331,106.83333333333333,0.10972222222222218
6,APS,120,CS_uniform,0.9425472222222223,3.3112333333333335,0.007670833333333293,0.0972347222222222,110.36666666666666,0.08027777777777773
6,APS,120,HG,0.9472819444444446,3.3427527777777772,0.012405555555555513,0.12875416666666661,102.93333333333334,0.1422222222222222
6,APS,120,JRC,0.9466361111111111,3.338933333333333,0.01175972222222218,0.12493472222222218,96.4,0.19666666666666663
6,APS,120,fixed_25,0.9312861111111113,3.3182444444444443,-0.003590277777777767,0.10424583333333333,30.0,0.7500000000000004
6,APS,120,fixed_50,0.9324638888888889,3.253936111111111,-0.0024124999999999863,0.03993749999999999,60.0,0.5000000000000002
6,APS,120,fixed_75,0.9337597222222223,3.220745833333333,-0.001116666666666666,0.006747222222222212,90.0,0.2500000000000001
6,APS,120,full_reference,0.9348763888888888,3.2139986111111107,0.0,0.0,120.0,0.0
6,APS,240,CS_beta_9_1,0.9552875000000001,3.3609722222222222,0.020247222222222163,0.19413888888888886,193.26666666666668,0.1947222222222222
6,APS,240,CS_uniform,0.9544416666666666,3.3642694444444445,0.019401388888888847,0.1974361111111111,201.4,0.1608333333333333
6,APS,240,HG,0.9554944444444444,3.362605555555555,0.020454166666666624,0.19577222222222218,184.33333333333334,0.23194444444444445
