model,score,N,policy,coverage,set_size,delta_coverage,delta_size,queried,saving
IT,LAC,240,fixed_75,0.862914351851852,1.9386912037037038,0.0008749999999999886,0.02629583333333333,180.0,0.2500000000000001
IT,LAC,240,full_reference,0.8620393518518519,1.9123953703703702,0.0,0.0,240.0,0.0
LR,APS,120,CS_beta_9_1,0.9217689814814816,2.9231074074074073,0.014710648148148105,0.13349490740740735,102.5,0.14583333333333331
LR,APS,120,CS_uniform,0.9211578703703704,2.9092689814814814,0.014099537037036992,0.11965648148148143,106.56666666666666,0.1119444444444444
LR,APS,120,HG,0.922875925925926,2.9388675925925924,0.015817592592592546,0.14925509259259254,97.6,0.18666666666666665
LR,APS,120,JRC,0.9218249999999999,2.9386254629629627,0.014766666666666626,0.14901296296296293,89.43333333333334,0.25472222222222224
LR,APS,120,fixed_25,0.9121027777777778,2.9177824074074072,0.005044444444444444,0.12816990740740736,30.0,0.7500000000000004
LR,APS,120,fixed_50,0.9092805555555555,2.8406532407407408,0.0022222222222222183,0.051040740740740706,60.0,0.5000000000000002
LR,APS,120,fixed_75,0.9070981481481483,2.7985337962962964,3.9814814814820984e-05,0.008921296296296302,90.0,0.2500000000000001
LR,APS,120,full_reference,0.9070583333333333,2.7896125,0.0,0.0,120.0,0.0
LR,APS,240,CS_beta_9_1,0.9259162037037036,2.9722712962962965,0.020691666666666622,0.20950509259259256,177.93333333333334,0.2586111111111111
LR,APS,240,CS_uniform,0.9260870370370369,2.977614351851852,0.02086249999999996,0.21484814814814812,189.0,0.21250000000000002
LR,APS,240,HG,0.9257467592592593,2.9762958333333334,0.02052222222222217,0.21352962962962957,167.13333333333333,0.30361111111111116
LR,APS,240,JRC,0.9246643518518519,2.964416203703704,0.019439814814814778,0.20164999999999997,152.8,0.36333333333333345
LR,APS,240,fixed_25,0.9087222222222224,2.8168296296296296,0.003497685185185185,0.05406342592592592,60.0,0.7500000000000004
LR,APS,240,fixed_50,0.9066662037037037,2.774561574074074,0.001441666666666669,0.01179537037037037,120.0,0.5000000000000002
LR,APS,240,fixed_75,0.9056861111111112,2.7644564814814814,0.0004615740740740725,0.0016902777777777847,180.0,0.2500000000000001
LR,APS,240,full_reference,0.905224537037037,2.7627662037037037,0.0,0.0,240.0,0.0
LR,LAC,120,CS_beta_9_1,0.9078175925925928,2.325193518518519,0.015478240740740687,0.11772592592592589,106.36666666666666,0.11361111111111101
LR,LAC,120,CS_uniform,0.9057120370370372,2.30620462962963,0.013372685185185147,0.098737037037037,110.06666666666666,0.08277777777777771
LR,LAC,120,HG,0.9096981481481481,2.344197685185185,0.01735879629629625,0.13673009259259258,101.53333333333333,0.15388888888888885
LR,LAC,120,JRC,0.9083597222222224,2.3394837962962964,0.016020370370370327,0.13201620370370368,94.76666666666667,0.2102777777777778
LR,LAC,120,fixed_25,0.9003398148148148,2.4215175925925925,0.008000462962962957,0.21405,30.0,0.7500000000000004
LR,LAC,120,fixed_50,0.8947217592592592,2.2886185185185184,0.002382407407407418,0.0811509259259259,60.0,0.5000000000000002
LR,LAC,120,fixed_75,0.8930236111111112,2.230433796296296,0.0006842592592592616,0.022966203703703694,90.0,0.2500000000000001
LR,LAC,120,full_reference,0.8923393518518519,2.2074675925925926,0.0,0.0,120.0,0.0
LR,LAC,240,CS_beta_9_1,0.9121416666666666,2.3701925925925926,0.02160509259259255,0.19530092592592588,186.39999999999998,0.2233333333333333
LR,LAC,240,CS_uniform,0.9123976851851852,2.3704449074074074,0.02186111111111107,0.19555324074074068,196.36666666666667,0.18180555555555553
LR,LAC,240,HG,0.9120504629629631,2.3670226851851854,0.021513888888888846,0.19213101851851846,177.43333333333334,0.2606944444444445
LR,LAC,240,JRC,0.9116856481481482,2.3670847222222218,0.02114907407407403,0.19219305555555552,164.39999999999998,0.315
LR,LAC,240,fixed_25,0.8954342592592595,2.305798148148148,0.004897685185185185,0.13090648148148146,60.0,0.7500000000000004
LR,LAC,240,fixed_50,0.8917703703703705,2.216801388888889,0.0012337962962962914,0.04190972222222218,120.0,0.5000000000000002
LR,LAC,240,fixed_75,0.8904893518518519,2.182487962962963,-4.722222222221565e-05,0.007596296296296271,180.0,0.2500000000000001
LR,LAC,240,full_reference,0.8905365740740743,2.1748916666666664,0.0,0.0,240.0,0.0
MR,APS,120,CS_beta_9_1,0.9251087962962963,2.675885185185185,0.013288888888888843,0.12594398148148145,103.93333333333334,0.13388888888888884
MR,APS,120,CS_uniform,0.9224495370370371,2.6521685185185184,0.010629629629629581,0.10222731481481478,108.30000000000001,0.09749999999999995
MR,APS,120,HG,0.9266851851851852,2.6886300925925926,0.014865277777777738,0.13868888888888883,99.0,0.17499999999999993
MR,APS,120,JRC,0.9264231481481482,2.6855041666666666,0.0146032407407407,0.13556296296296294,91.56666666666666,0.23694444444444449
MR,APS,120,fixed_25,0.9097194444444445,2.701161574074074,-0.002100462962962961,0.15122037037037037,30.0,0.7500000000000004
MR,APS,120,fixed_50,0.9100152777777778,2.6009203703703703,-0.0018046296296296178,0.05097916666666666,60.0,0.5000000000000002
MR,APS,120,fixed_75,0.9114777777777778,2.5678171296296295,-0.0003421296296296201,0.01787592592592593,90.0,0.2500000000000001
MR,APS,120,full_reference,0.9118199074074074,2.5499412037037037,0.0,0.0,120.0,0.0
MR,APS,240,CS_beta_9_1,0.9319967592592593,2.6887888888888885,0.020518055555555522,0.1964717592592592,183.33333333333334,0.23611111111111105
MR,APS,240,CS_uniform,0.9327356481481482,2.697424537037037,0.0212569444444444,0.2051074074074074,193.33333333333334,0.1944444444444444
MR,APS,240,HG,0.9321824074074075,2.691801388888889,0.020703703703703658,0.19948425925925925,173.33333333333334,0.2777777777777778
MR,APS,240,JRC,0.9314777777777778,2.684936574074074,0.019999074074074027,0.1926194444444444,158.93333333333334,0.33777777777777784
MR,APS,240,fixed_25,0.9134398148148148,2.618139814814815,0.0019611111111111058,0.12582268518518516,60.0,0.7500000000000004
MR,APS,240,fixed_50,0.9117708333333334,2.5378425925925927,0.0002921296296296297,0.04552546296296295,120.0,0.5000000000000002
MR,APS,240,fixed_75,0.9109263888888888,2.509217592592593,-0.0005523148148148023,0.016900462962962975,180.0,0.2500000000000001
MR,APS,240,full_reference,0.9114787037037038,2.49231712962963,0.0,0.0,240.0,0.0
MR,LAC,120,CS_beta_9_1,0.9171148148148149,1.5012736111111111,0.026504166666666624,0.15325138888888884,97.13333333333334,0.1905555555555555
MR,LAC,120,CS_uniform,0.9142856481481483,1.4870310185185185,0.023674999999999956,0.13900879629629626,102.53333333333333,0.14555555555555552
MR,LAC,120,HG,0.9183921296296297,1.5133657407407408,0.027781481481481424,0.16534351851851847,91.19999999999999,0.24000000000000002
MR,LAC,120,JRC,0.916312962962963,1.5056425925925927,0.025702314814814768,0.15762037037037033,81.63333333333334,0.3197222222222223
MR,LAC,120,fixed_25,0.8937351851851852,1.4747027777777777,0.003124537037037032,0.12668055555555555,30.0,0.7500000000000004
MR,LAC,120,fixed_50,0.8938365740740741,1.4097777777777776,0.003225925925925906,0.06175555555555553,60.0,0.5000000000000002
MR,LAC,120,fixed_75,0.8906731481481481,1.3623569444444443,6.250000000000507e-05,0.01433472222222221,90.0,0.2500000000000001
MR,LAC,120,full_reference,0.890610648148148,1.3480222222222222,0.0,0.0,120.0,0.0
MR,LAC,240,CS_beta_9_1,0.9242972222222223,1.5545648148148148,0.03399583333333328,0.22141157407407402,157.5,0.34375000000000006
MR,LAC,240,CS_uniform,0.9261870370370373,1.5700675925925927,0.035885648148148104,0.23691435185185183,170.60000000000002,0.28916666666666674
MR,LAC,240,HG,0.9242805555555557,1.5523148148148147,0.03397916666666662,0.21916157407407405,148.76666666666668,0.3801388888888889
MR,LAC,240,JRC,0.9230388888888891,1.5431046296296296,0.032737499999999954,0.20995138888888884,132.96666666666667,0.4459722222222222
MR,LAC,240,fixed_25,0.8933935185185187,1.406138888888889,0.0030921296296296313,0.07298564814814813,60.0,0.7500000000000004
MR,LAC,240,fixed_50,0.8910606481481482,1.3513458333333332,0.0007592592592592836,0.01819259259259258,120.0,0.5000000000000002
MR,LAC,240,fixed_75,0.8905935185185184,1.3398939814814814,0.0002921296296296364,0.006740740740740718,180.0,0.2500000000000001
MR,LAC,240,full_reference,0.890301388888889,1.3331532407407407,0.0,0.0,240.0,0.0
